WKT,TALB_ID,TALB_Acronym,TALB2013_V1_00,TALB2013_V1_00_NAME,Shape_Length
"MULTIPOLYGON (((1703163.63929987 5651111.78849983,1681229.07229996 5613120.00409985,1637359.93849993 5613120.00409985,1615425.37169981 5651111.78849983,1637359.93849993 5689103.57270002,1681229.07229996 5689103.57270002,1703163.63929987 5651111.78849983)))",3400,SF,03400,Stratford District,263214.802756
"MULTIPOLYGON (((1768967.33990002 5613120.00409985,1747032.7729001 5575128.21990013,1703163.63929987 5575128.21990013,1681229.07229996 5613120.00409985,1703163.63929987 5651111.78849983,1747032.7729001 5651111.78849983,1768967.33990002 5613120.00409985)))",3800,RA,03800,Rangitikei District,263214.802556
"MULTIPOLYGON (((1834771.04050016 5651111.78849983,1812836.47370005 5613120.00409985,1768967.33990002 5613120.00409985,1747032.7729001 5651111.78849983,1768967.33990002 5689103.57270002,1812836.47370005 5689103.57270002,1834771.04050016 5651111.78849983)))",4000,PN,04000,Palmerston North City,263214.802756
"MULTIPOLYGON (((1900574.74109983 5613120.00409985,1878640.17430019 5575128.21990013,1834771.04050016 5575128.21990013,1812836.47370005 5613120.00409985,1834771.04050016 5651111.78849983,1878640.17430019 5651111.78849983,1900574.74109983 5613120.00409985)))",4100,TA,04100,Tararua District,263214.802556
"MULTIPOLYGON (((1966378.44189978 5651111.78849983,1944443.87489986 5613120.00409985,1900574.74109983 5613120.00409985,1878640.17430019 5651111.78849983,1900574.74109983 5689103.57270002,1944443.87489986 5689103.57270002,1966378.44189978 5651111.78849983)))",3200,CE,03200,Central Hawke's Bay District,263214.802756
"MULTIPOLYGON (((1505752.53730011 5309185.72989988,1483817.97049999 5271193.94570017,1439948.83669996 5271193.94570017,1418014.26970005 5309185.72989988,1439948.83669996 5347177.51410007,1483817.97049999 5347177.51410007,1505752.53730011 5309185.72989988)))",5500,BU,05500,Buller District,263214.802409
"MULTIPOLYGON (((1505752.53730011 5385169.29850006,1483817.97049999 5347177.51410007,1439948.83669996 5347177.51410007,1418014.26970005 5385169.29850006,1439948.83669996 5423161.08269978,1483817.97049999 5423161.08269978,1505752.53730011 5385169.29850006)))",5100,TS,05100,Tasman District,263214.802756
"MULTIPOLYGON (((1703163.63929987 5575128.21990013,1681229.07229996 5537136.43550014,1637359.93849993 5537136.43550014,1615425.37169981 5575128.21990013,1637359.93849993 5613120.00409985,1681229.07229996 5613120.00409985,1703163.63929987 5575128.21990013)))",3700,WG,03700,Whanganui District,263214.802756
"MULTIPOLYGON (((1637359.93849993 5613120.00409985,1615425.37169981 5575128.21990013,1571556.23789978 5575128.21990013,1549621.67110014 5613120.00409985,1571556.23789978 5651111.78849983,1615425.37169981 5651111.78849983,1637359.93849993 5613120.00409985)))",3500,ST,03500,South Taranaki District,263214.802556
"MULTIPOLYGON (((1703163.63929987 5727095.35690022,1681229.07229996 5689103.57270002,1637359.93849993 5689103.57270002,1615425.37169981 5727095.35690022,1637359.93849993 5765087.1413002,1681229.07229996 5765087.1413002,1703163.63929987 5727095.35690022)))",2000,WO,02000,Waitomo District,263214.802756
"MULTIPOLYGON (((1768967.33990002 5689103.57270002,1747032.7729001 5651111.78849983,1703163.63929987 5651111.78849983,1681229.07229996 5689103.57270002,1703163.63929987 5727095.35690022,1747032.7729001 5727095.35690022,1768967.33990002 5689103.57270002)))",3600,RU,03600,Ruapehu District,263214.802209
"MULTIPOLYGON (((1834771.04050016 5727095.35690022,1812836.47370005 5689103.57270002,1768967.33990002 5689103.57270002,1747032.7729001 5727095.35690022,1768967.33990002 5765087.1413002,1812836.47370005 5765087.1413002,1834771.04050016 5727095.35690022)))",1700,WP,01700,Waipa District,263214.802756
"MULTIPOLYGON (((1900574.74109983 5689103.57270002,1878640.17430019 5651111.78849983,1834771.04050016 5651111.78849983,1812836.47370005 5689103.57270002,1834771.04050016 5727095.35690022,1878640.17430019 5727095.35690022,1900574.74109983 5689103.57270002)))",2100,TP,02100,Taupo District,263214.802209
"MULTIPOLYGON (((1966378.44189978 5727095.35690022,1944443.87489986 5689103.57270002,1900574.74109983 5689103.57270002,1878640.17430019 5727095.35690022,1900574.74109983 5765087.1413002,1944443.87489986 5765087.1413002,1966378.44189978 5727095.35690022)))",2400,RO,02400,Rotorua District,263214.802756
"MULTIPOLYGON (((2032182.14249992 5689103.57270002,2010247.57569981 5651111.78849983,1966378.44189978 5651111.78849983,1944443.87489986 5689103.57270002,1966378.44189978 5727095.35690022,2010247.57569981 5727095.35690022,2032182.14249992 5689103.57270002)))",3100,NA,03100,Napier City,263214.802409
"MULTIPOLYGON (((1768967.33990002 5765087.1413002,1747032.7729001 5727095.35690022,1703163.63929987 5727095.35690022,1681229.07229996 5765087.1413002,1703163.63929987 5803078.92549992,1747032.7729001 5803078.92549992,1768967.33990002 5765087.1413002)))",1800,OT,01800,Otorohanga District,263214.802556
"MULTIPOLYGON (((1834771.04050016 5803078.92549992,1812836.47370005 5765087.1413002,1768967.33990002 5765087.1413002,1747032.7729001 5803078.92549992,1768967.33990002 5841070.7098999,1812836.47370005 5841070.7098999,1834771.04050016 5803078.92549992)))",1600,HA,01600,Hamilton City,263214.802756
"MULTIPOLYGON (((1900574.74109983 5765087.1413002,1878640.17430019 5727095.35690022,1834771.04050016 5727095.35690022,1812836.47370005 5765087.1413002,1834771.04050016 5803078.92549992,1878640.17430019 5803078.92549992,1900574.74109983 5765087.1413002)))",1900,SO,01900,South Waikato District,263214.802556
"MULTIPOLYGON (((1966378.44189978 5803078.92549992,1944443.87489986 5765087.1413002,1900574.74109983 5765087.1413002,1878640.17430019 5803078.92549992,1900574.74109983 5841070.7098999,1944443.87489986 5841070.7098999,1966378.44189978 5803078.92549992)))",2600,KW,02600,Kawerau District,263214.802756
"MULTIPOLYGON (((2032182.14249992 5765087.1413002,2010247.57569981 5727095.35690022,1966378.44189978 5727095.35690022,1944443.87489986 5765087.1413002,1966378.44189978 5803078.92549992,2010247.57569981 5803078.92549992,2032182.14249992 5765087.1413002)))",3000,HS,03000,Hastings District,263214.802756
"MULTIPOLYGON (((2097985.84310007 5803078.92549992,2076051.27629995 5765087.1413002,2032182.14249992 5765087.1413002,2010247.57569981 5803078.92549992,2032182.14249992 5841070.7098999,2076051.27629995 5841070.7098999,2097985.84310007 5803078.92549992)))",2900,WI,02900,Wairoa District,263214.802556
"MULTIPOLYGON (((1768967.33990002 5841070.7098999,1747032.7729001 5803078.92549992,1703163.63929987 5803078.92549992,1681229.07229996 5841070.7098999,1703163.63929987 5879062.49410009,1747032.7729001 5879062.49410009,1768967.33990002 5841070.7098999)))",1300,WA,01300,Waikato District,263214.802556
"MULTIPOLYGON (((1834771.04050016 5879062.49410009,1812836.47370005 5841070.7098999,1768967.33990002 5841070.7098999,1747032.7729001 5879062.49410009,1768967.33990002 5917054.27829981,1812836.47370005 5917054.27829981,1834771.04050016 5879062.49410009)))",1200,HK,01200,Hauraki District,263214.802409
"MULTIPOLYGON (((1900574.74109983 5841070.7098999,1878640.17430019 5803078.92549992,1834771.04050016 5803078.92549992,1812836.47370005 5841070.7098999,1834771.04050016 5879062.49410009,1878640.17430019 5879062.49410009,1900574.74109983 5841070.7098999)))",1500,MP,01500,Matamata-Piako District,263214.802556
"MULTIPOLYGON (((1768967.33990002 5917054.27829981,1747032.7729001 5879062.49410009,1703163.63929987 5879062.49410009,1681229.07229996 5917054.27829981,1703163.63929987 5955046.06269979,1747032.7729001 5955046.06269979,1768967.33990002 5917054.27829981)))",7600,AK,07600,Auckland,263214.802556
"MULTIPOLYGON (((1900574.74109983 5917054.27829981,1878640.17430019 5879062.49410009,1834771.04050016 5879062.49410009,1812836.47370005 5917054.27829981,1834771.04050016 5955046.06269979,1878640.17430019 5955046.06269979,1900574.74109983 5917054.27829981)))",2300,TG,02300,Tauranga City,263214.802556
"MULTIPOLYGON (((1703163.63929987 6031029.63129997,1681229.07229996 5993037.84689999,1637359.93849993 5993037.84689999,1615425.37169981 6031029.63129997,1637359.93849993 6069021.41550016,1681229.07229996 6069021.41550016,1703163.63929987 6031029.63129997)))",200,WH,00200,Whangarei District,263214.802756
"MULTIPOLYGON (((1900574.74109983 5993037.84689999,1878640.17430019 5955046.06269979,1834771.04050016 5955046.06269979,1812836.47370005 5993037.84689999,1834771.04050016 6031029.63129997,1878640.17430019 6031029.63129997,1900574.74109983 5993037.84689999)))",1100,TC,01100,Thames-Coromandel District,263214.802556
"MULTIPOLYGON (((1637359.93849993 5689103.57270002,1615425.37169981 5651111.78849983,1571556.23789978 5651111.78849983,1549621.67110014 5689103.57270002,1571556.23789978 5727095.35690022,1615425.37169981 5727095.35690022,1637359.93849993 5689103.57270002)))",3300,NP,03300,New Plymouth District,263214.802209
"MULTIPOLYGON (((2539323.01924992 5792020.54914999,2517388.4524498 5754028.76499987,2473519.31864977 5754028.76499987,2451584.75185013 5792020.54914999,2473519.31864977 5830012.33354998,2517388.4524498 5830012.33354998,2539323.01924992 5792020.54914999)))",7621,FR,07621,Franklin Local Board Area,263214.802469
"MULTIPOLYGON (((1966378.44189978 5879062.49410009,1944443.87489986 5841070.7098999,1900574.74109983 5841070.7098999,1878640.17430019 5879062.49410009,1900574.74109983 5917054.27829981,1944443.87489986 5917054.27829981,1966378.44189978 5879062.49410009)))",2200,WB,02200,Western Bay of Plenty District,263214.802409
"MULTIPOLYGON (((2032182.14249992 5841070.7098999,2010247.57569981 5803078.92549992,1966378.44189978 5803078.92549992,1944443.87489986 5841070.7098999,1966378.44189978 5879062.49410009,2010247.57569981 5879062.49410009,2032182.14249992 5841070.7098999)))",2500,WN,02500,Whakatane District,263214.802756
"MULTIPOLYGON (((2097985.84310007 5879062.49410009,2076051.27629995 5841070.7098999,2032182.14249992 5841070.7098999,2010247.57569981 5879062.49410009,2032182.14249992 5917054.27829981,2076051.27629995 5917054.27829981,2097985.84310007 5879062.49410009)))",2700,OP,02700,Opotiki District,263214.802209
"MULTIPOLYGON (((2163789.54370022 5841070.7098999,2141854.9769001 5803078.92549992,2097985.84310007 5803078.92549992,2076051.27629995 5841070.7098999,2097985.84310007 5879062.49410009,2141854.9769001 5879062.49410009,2163789.54370022 5841070.7098999)))",2800,GI,02800,Gisborne District,263214.802556
"MULTIPOLYGON (((2539323.01924992 5868004.11780024,2517388.4524498 5830012.33354998,2473519.31864977 5830012.33354998,2451584.75185013 5868004.11780024,2473519.31864977 5905995.90194988,2517388.4524498 5905995.90194988,2539323.01924992 5868004.11780024)))",7619,MU,07619,Manurewa Local Board Area,263214.802209
"MULTIPOLYGON (((2605126.72004986 5830012.33354998,2583192.15304995 5792020.54914999,2539323.01924992 5792020.54914999,2517388.4524498 5830012.33354998,2539323.01924992 5868004.11780024,2583192.15304995 5868004.11780024,2605126.72004986 5830012.33354998)))",7620,PP,07620,Papakura Local Board Area,263214.802843
"MULTIPOLYGON (((1703163.63929987 5955046.06269979,1681229.07229996 5917054.27829981,1637359.93849993 5917054.27829981,1615425.37169981 5955046.06269979,1637359.93849993 5993037.84689999,1681229.07229996 5993037.84689999,1703163.63929987 5955046.06269979)))",300,KA,00300,Kaipara District,263214.802756
"MULTIPOLYGON (((2539323.01924992 5943987.68634987,2517388.4524498 5905995.90194988,2473519.31864977 5905995.90194988,2451584.75185013 5943987.68634987,2473519.31864977 5981979.47060013,2517388.4524498 5981979.47060013,2539323.01924992 5943987.68634987)))",7617,MO,07617,Mangere-Otahuhu Local Board Area,263214.802642
"MULTIPOLYGON (((2605126.72004986 5905995.90194988,2583192.15304995 5868004.11780024,2539323.01924992 5868004.11780024,2517388.4524498 5905995.90194988,2539323.01924992 5943987.68634987,2583192.15304995 5943987.68634987,2605126.72004986 5905995.90194988)))",7618,OA,07618,Otara-Papatoetoe Local Board Area,263214.802668
"MULTIPOLYGON (((2407715.6180501 6019971.25500011,2385781.05124998 5981979.47060013,2341911.91744995 5981979.47060013,2319977.35039997 6019971.25500011,2341911.91744995 6057963.03919983,2385781.05124998 6057963.03919983,2407715.6180501 6019971.25500011)))",7611,WU,07611,Whau Local Board Area,263214.802805
"MULTIPOLYGON (((2473519.31864977 5981979.47060013,2451584.75185013 5943987.68634987,2407715.6180501 5943987.68634987,2385781.05124998 5981979.47060013,2407715.6180501 6019971.25500011,2451584.75185013 6019971.25500011,2473519.31864977 5981979.47060013)))",7613,PU,07613,Puketapapa Local Board Area,263214.802642
"MULTIPOLYGON (((2539323.01924992 6019971.25500011,2517388.4524498 5981979.47060013,2473519.31864977 5981979.47060013,2451584.75185013 6019971.25500011,2473519.31864977 6057963.03919983,2517388.4524498 6057963.03919983,2539323.01924992 6019971.25500011)))",7614,OR,07614,Orakei Local Board Area,263214.802555
"MULTIPOLYGON (((2605126.72004986 5981979.47060013,2583192.15304995 5943987.68634987,2539323.01924992 5943987.68634987,2517388.4524498 5981979.47060013,2539323.01924992 6019971.25500011,2583192.15304995 6019971.25500011,2605126.72004986 5981979.47060013)))",7615,MT,07615,Maungakiekie-Tamaki Local Board Area,263214.802843
"MULTIPOLYGON (((1637359.93849993 6069021.41550016,1615425.37169981 6031029.63129997,1571556.23789978 6031029.63129997,1549621.67110014 6069021.41550016,1571556.23789978 6107013.19990015,1615425.37169981 6107013.19990015,1637359.93849993 6069021.41550016)))",100,FN,00100,Far North District,263214.802556
"MULTIPOLYGON (((2341911.91744995 6057963.03919983,2319977.35039997 6019971.25500011,2276108.2168498 6019971.25500011,2254173.64984989 6057963.03919983,2276108.2168498 6095954.82359982,2319977.35039997 6095954.82359982,2341911.91744995 6057963.03919983)))",7607,WR,07607,Waitakere Ranges Local Board Area,263214.802505
"MULTIPOLYGON (((2407715.6180501 6095954.82359982,2385781.05124998 6057963.03919983,2341911.91744995 6057963.03919983,2319977.35039997 6095954.82359982,2341911.91744995 6133946.60774994,2385781.05124998 6133946.60774994,2407715.6180501 6095954.82359982)))",7612,AL,07612,Albert-Eden Local Board Area,263214.802719
"MULTIPOLYGON (((2473519.31864977 6057963.03919983,2451584.75185013 6019971.25500011,2407715.6180501 6019971.25500011,2385781.05124998 6057963.03919983,2407715.6180501 6095954.82359982,2451584.75185013 6095954.82359982,2473519.31864977 6057963.03919983)))",7610,WX,07610,Waitemata Local Board Area,263214.802555
"MULTIPOLYGON (((2539323.01924992 6095954.82359982,2517388.4524498 6057963.03919983,2473519.31864977 6057963.03919983,2451584.75185013 6095954.82359982,2473519.31864977 6133946.60774994,2517388.4524498 6133946.60774994,2539323.01924992 6095954.82359982)))",7605,DT,07605,Devonport-Takapuna Local Board Area,263214.802469
"MULTIPOLYGON (((2605126.72004986 6057963.03919983,2583192.15304995 6019971.25500011,2539323.01924992 6019971.25500011,2517388.4524498 6057963.03919983,2539323.01924992 6095954.82359982,2583192.15304995 6095954.82359982,2605126.72004986 6057963.03919983)))",7616,HW,07616,Howick Local Board Area,263214.802755
"MULTIPOLYGON (((2341911.91744995 6133946.60774994,2319977.35039997 6095954.82359982,2276108.2168498 6095954.82359982,2254173.64984989 6133946.60774994,2276108.2168498 6171938.3920002,2319977.35039997 6171938.3920002,2341911.91744995 6133946.60774994)))",7606,HM,07606,Henderson-Massey Local Board Area,263214.80216
"MULTIPOLYGON (((2407715.6180501 6171938.3920002,2385781.05124998 6133946.60774994,2341911.91744995 6133946.60774994,2319977.35039997 6171938.3920002,2341911.91744995 6209930.17640018,2385781.05124998 6209930.17640018,2407715.6180501 6171938.3920002)))",7602,HI,07602,Hibiscus and Bays Local Board Area,263214.802893
"MULTIPOLYGON (((2473519.31864977 6133946.60774994,2451584.75185013 6095954.82359982,2407715.6180501 6095954.82359982,2385781.05124998 6133946.60774994,2407715.6180501 6171938.3920002,2451584.75185013 6171938.3920002,2473519.31864977 6133946.60774994)))",7604,KP,07604,Kaipatiki Local Board Area,263214.80221
"MULTIPOLYGON (((2539323.01924992 6171938.3920002,2517388.4524498 6133946.60774994,2473519.31864977 6133946.60774994,2451584.75185013 6171938.3920002,2473519.31864977 6209930.17640018,2517388.4524498 6209930.17640018,2539323.01924992 6171938.3920002)))",7603,UP,07603,Upper Harbour Local Board Area,263214.802642
"MULTIPOLYGON (((2605126.72004986 6133946.60774994,2583192.15304995 6095954.82359982,2539323.01924992 6095954.82359982,2517388.4524498 6133946.60774994,2539323.01924992 6171938.3920002,2583192.15304995 6171938.3920002,2605126.72004986 6133946.60774994)))",7609,WL,07609,Waiheke Local Board Area,263214.80241
"MULTIPOLYGON (((2341911.91744995 6209930.17640018,2319977.35039997 6171938.3920002,2276108.2168498 6171938.3920002,2254173.64984989 6209930.17640018,2276108.2168498 6247921.96054983,2319977.35039997 6247921.96054983,2341911.91744995 6209930.17640018)))",7601,RD,07601,Rodney Local Board Area,263214.802419
"MULTIPOLYGON (((2605126.72004986 6209930.17640018,2583192.15304995 6171938.3920002,2539323.01924992 6171938.3920002,2517388.4524498 6209930.17640018,2539323.01924992 6247921.96054983,2583192.15304995 6247921.96054983,2605126.72004986 6209930.17640018)))",7608,GB,07608,Great Barrier Local Board Area,263214.802668
