Rank,Name,Population (2019),Percent of UK (2019),Area,Pop.density (2011),Population (2011)
1,England ∟ London ∟ South East ∟ East of England ∟ South West ∟ North West ∟ East Midlands ∟ West Midlands ∟ Yorkshire and the Humber ∟ North East,"56,286,961 8,961,989 9,180,135 6,236,072 5,624,696 7,341,196 4,835,928 5,934,037 5,502,967 2,669,941",84.3% 13.4% 13.7% 9.3% 8.4% 11.0% 7.2% 8.9% 8.2% 4.0%,"130,395 km² 1,572 km² 19,095 km² 19,120 km² 23,829 km² 14,165 km² 15,627 km² 13,000 km² 15,420 km² 8,592 km²",406.55/km² 5199.71/km² 452.20/km² 305.80/km² 221.95/km² 497.86/km² 302.24/km² 430.00/km² 342.65/km² 290.09/km²,"53,107,169 8,204,407 8,652,704 5,862,418 5,300,831 7,055,961 4,537,448 5,608,668 5,288,212 2,596,441"
2,Scotland,"5,463,300",8.2%,"78,772 km²",67.22/km²,"5,299,900"
3,Wales,"3,152,879",4.7%,"20,779 km²",147.43/km²,"3,063,758"
4,Northern Ireland,"1,893,667",2.8%,"13,843 km²",130.81/km²,"1,814,318"
,United Kingdom,"66,796,807",100%,"243,789 km²",259.16/km²,"63,285,145"
