library,may_2022_visitors
"Central City",330037
"Grey Lynn",5648
"Leys Institute Little",2070
"Parnell",3253
"Epsom",7840
"Mt Albert",11763
"Pt Chavelier",7104
"Remuera",12436
"St Heliers",12564
