Financial Year,Month,Local Board,Location Name,_Sum of Checkouts Actual
FY18,Aug,Kaipatiki,Northcote,12259
FY18,Aug,Maungakiekie-Tamaki,Onehunga,18371
FY18,Aug,Other,Online Renewals,0
FY18,Aug,Hibiscus and Bays,Orewa,30593
FY18,Aug,Mangere-Otahuhu,Otahuhu,5176
FY18,Aug,Otara-Papatoetoe,Otara,2424
FY18,Aug,Other,Other,0
FY18,Aug,Howick,Pakuranga,22095
FY18,Aug,Maungakiekie-Tamaki,Panmure,13652
FY18,Aug,Papakura,Papakura,23437
FY18,Aug,Otara-Papatoetoe,Papatoetoe,10921
FY18,Aug,Waitemata,Parnell,11694
FY18,Aug,Albert - Eden,Pt Chevalier,14505
FY18,Aug,Franklin,Pukekohe,26779
FY18,Aug,Henderson - Massey,Ranui,11100
FY18,Aug,Orakei,Remuera,31611
FY18,Aug,Orakei,St Heliers,35074
FY18,Aug,Devonport - Takapuna,Takapuna,36504
FY18,Aug,Henderson - Massey,Te Atatu Peninsula,14203
FY18,Aug,Henderson - Massey,Te Manawa,0
FY18,Aug,Waitakere Ranges,Titirangi,16
FY18,Aug,Otara-Papatoetoe,Tupu,1493
FY18,Aug,Waiheke,Waiheke,11837
FY18,Aug,Franklin,Waiuku,9613
FY18,Aug,Rodney,Warkworth,12970
FY18,Aug,Rodney,Wellsford,6306
FY18,Aug,Hibiscus and Bays,Whangaparaoa,22487
FY18,Sep,Upper Harbour,Albany Village,20823
FY18,Sep,Other,Art Gallery,46
FY18,Sep,Whau,Avondale,8957
FY18,Sep,Kaipatiki,Birkenhead,21807
FY18,Sep,Whau,Blockhouse Bay,20480
FY18,Sep,Howick,Botany,29102
FY18,Sep,Waitemata,Central City,27866
FY18,Sep,Manurewa,Clendon,4282
FY18,Sep,Other,Content and Access,18
FY18,Sep,Other,Corporate,50
FY18,Sep,Other,Debt,3
FY18,Sep,Devonport - Takapuna,Devonport,19654
FY18,Sep,Other,Digital Library,0
FY18,Sep,Hibiscus and Bays,East Coast Bays,49844
FY18,Sep,Albert - Eden,Epsom,24369
FY18,Sep,Other,Events Library,32
FY18,Sep,Waitakere Ranges,Glen Eden,24753
FY18,Sep,Maungakiekie-Tamaki,Glen Innes,7286
FY18,Sep,Kaipatiki,Glenfield,29277
FY18,Sep,Great Barrier,Great Barrier,909
FY18,Sep,Waitemata,Grey Lynn,12610
FY18,Sep,Rodney,Helensville,5660
FY18,Sep,Henderson - Massey,Henderson,24318
FY18,Sep,Howick,Highland Park,30967
FY18,Sep,Howick,Howick,28539
