Financial Year,Month,Local Board,Location Name,_Sum of Checkouts Actual
FY18,Mar,Other,Art Gallery,18
FY18,Mar,Whau,Avondale,7872
FY18,Mar,Kaipatiki,Birkenhead,22727
FY18,Mar,Whau,Blockhouse Bay,18627
FY18,Mar,Howick,Botany,29053
FY18,Mar,Waitemata,Central City,33808
FY18,Mar,Manurewa,Clendon,4637
FY18,Mar,Other,Content and Access,33
FY18,Mar,Other,Corporate,77
FY18,Mar,Other,Debt,0
FY18,Mar,Devonport - Takapuna,Devonport,19137
FY18,Mar,Other,Digital Library,0
FY18,Mar,Hibiscus and Bays,East Coast Bays,48669
FY18,Mar,Albert - Eden,Epsom,23585
FY18,Mar,Other,Events Library,1
FY18,Mar,Waitakere Ranges,Glen Eden,18270
FY18,Mar,Maungakiekie-Tamaki,Glen Innes,7029
FY18,Mar,Kaipatiki,Glenfield,29920
FY18,Mar,Great Barrier,Great Barrier,1028
FY18,Mar,Waitemata,Grey Lynn,12117
FY18,Mar,Rodney,Helensville,5476
FY18,Mar,Henderson - Massey,Henderson,21657
FY18,Mar,Howick,Highland Park,29136
FY18,Mar,Howick,Howick,26957
FY18,Mar,Rodney,Kumeu,12021
FY18,Mar,Waitemata,Leys Institute,11375
FY18,Mar,Waitemata,Leys Institute Little,0
FY18,Mar,Other,Library Connect,138
FY18,Mar,Rodney,Mahurangi East,6954
FY18,Mar,Mangere-Otahuhu,Mangere Bridge,8177
FY18,Mar,Mangere-Otahuhu,Mangere East,3087
FY18,Mar,Mangere-Otahuhu,Mangere Town Centre,3530
FY18,Mar,Otara-Papatoetoe,Manukau,7255
FY18,Mar,Manurewa,Manurewa,15063
FY18,Mar,Henderson - Massey,Massey,29326
FY18,Mar,Mobile Libraries,Mobile Central,1151
FY18,Mar,Mobile Libraries,Mobile North,1268
FY18,Mar,Mobile Libraries,Mobile South & East,3315
FY18,Mar,Mobile Libraries,Mobile West & Central,2176
FY18,Mar,Albert - Eden,Mt Albert,32563
FY18,Mar,Puketapapa,Mt Roskill,32864
FY18,Mar,Whau,New Lynn,21228
FY18,Mar,Kaipatiki,Northcote,11174
FY18,Mar,Maungakiekie-Tamaki,Onehunga,17271
FY18,Mar,Other,Online Renewals,0
FY18,Mar,Hibiscus and Bays,Orewa,29592
FY18,Mar,Mangere-Otahuhu,Otahuhu,4236
FY18,Mar,Otara-Papatoetoe,Otara,1953
FY18,Mar,Other,Other,0
FY18,Mar,Howick,Pakuranga,21480
FY18,Mar,Maungakiekie-Tamaki,Panmure,12095
FY18,Mar,Papakura,Papakura,22479
FY18,Mar,Otara-Papatoetoe,Papatoetoe,10560
FY18,Mar,Waitemata,Parnell,11415
FY18,Mar,Albert - Eden,Pt Chevalier,13024
FY18,Mar,Franklin,Pukekohe,26521
FY18,Mar,Henderson - Massey,Ranui,10220
FY18,Mar,Orakei,Remuera,28889
FY18,Mar,Orakei,St Heliers,33385
FY18,Mar,Devonport - Takapuna,Takapuna,34414
FY18,Mar,Henderson - Massey,Te Atatu Peninsula,13382
FY18,Mar,Henderson - Massey,Te Manawa,0
FY18,Mar,Waitakere Ranges,Titirangi,14781
FY18,Mar,Otara-Papatoetoe,Tupu,1330
FY18,Mar,Waiheke,Waiheke,11354
FY18,Mar,Franklin,Waiuku,8715
FY18,Mar,Rodney,Warkworth,12400
FY18,Mar,Rodney,Wellsford,5702
FY18,Mar,Hibiscus and Bays,Whangaparaoa,21674
FY18,Apr,Upper Harbour,Albany Village,22126
FY18,Apr,Other,Art Gallery,27
FY18,Apr,Whau,Avondale,8695
FY18,Apr,Kaipatiki,Birkenhead,23759
FY18,Apr,Whau,Blockhouse Bay,19819
FY18,Apr,Howick,Botany,34008
FY18,Apr,Waitemata,Central City,34356
FY18,Apr,Manurewa,Clendon,3977
FY18,Apr,Other,Content and Access,77
FY18,Apr,Other,Corporate,71
FY18,Apr,Other,Debt,0
FY18,Apr,Devonport - Takapuna,Devonport,20572
FY18,Apr,Other,Digital Library,0
FY18,Apr,Hibiscus and Bays,East Coast Bays,48140
FY18,Apr,Albert - Eden,Epsom,24212
FY18,Apr,Other,Events Library,22
FY18,Apr,Waitakere Ranges,Glen Eden,18275
FY18,Apr,Maungakiekie-Tamaki,Glen Innes,7506
FY18,Apr,Kaipatiki,Glenfield,30086
FY18,Apr,Great Barrier,Great Barrier,918
FY18,Apr,Waitemata,Grey Lynn,11961
FY18,Apr,Rodney,Helensville,5400
FY18,Apr,Henderson - Massey,Henderson,22279
FY18,Apr,Howick,Highland Park,30498
FY18,Apr,Howick,Howick,27678
FY18,Apr,Rodney,Kumeu,13375
FY18,Apr,Waitemata,Leys Institute,10532
FY18,Apr,Waitemata,Leys Institute Little,0
FY18,Apr,Other,Library Connect,145
FY18,Apr,Rodney,Mahurangi East,6607
FY18,Apr,Mangere-Otahuhu,Mangere Bridge,8746
FY18,Apr,Mangere-Otahuhu,Mangere East,2442
FY18,Apr,Mangere-Otahuhu,Mangere Town Centre,2984
FY18,Apr,Otara-Papatoetoe,Manukau,8486
FY18,Apr,Manurewa,Manurewa,15528
FY18,Apr,Henderson - Massey,Massey,28183
FY18,Apr,Mobile Libraries,Mobile Central,883
FY18,Apr,Mobile Libraries,Mobile North,1127
FY18,Apr,Mobile Libraries,Mobile South & East,2656
FY18,Apr,Mobile Libraries,Mobile West & Central,1576
FY18,Apr,Albert - Eden,Mt Albert,35475
FY18,Apr,Puketapapa,Mt Roskill,33280
FY18,Apr,Whau,New Lynn,21900
FY18,Apr,Kaipatiki,Northcote,11348
FY18,Apr,Maungakiekie-Tamaki,Onehunga,17147
FY18,Apr,Other,Online Renewals,0
FY18,Apr,Hibiscus and Bays,Orewa,30659
FY18,Apr,Mangere-Otahuhu,Otahuhu,3990
FY18,Apr,Otara-Papatoetoe,Otara,1974
FY18,Apr,Other,Other,0
FY18,Apr,Howick,Pakuranga,23110
FY18,Apr,Maungakiekie-Tamaki,Panmure,12099
FY18,Apr,Papakura,Papakura,23065
FY18,Apr,Otara-Papatoetoe,Papatoetoe,11134
FY18,Apr,Waitemata,Parnell,10772
FY18,Apr,Albert - Eden,Pt Chevalier,13692
FY18,Apr,Franklin,Pukekohe,25783
FY18,Apr,Henderson - Massey,Ranui,10299
FY18,Apr,Orakei,Remuera,29577
FY18,Apr,Orakei,St Heliers,33538
FY18,Apr,Devonport - Takapuna,Takapuna,34982
FY18,Apr,Henderson - Massey,Te Atatu Peninsula,14619
FY18,Apr,Henderson - Massey,Te Manawa,0
FY18,Apr,Waitakere Ranges,Titirangi,14882
FY18,Apr,Otara-Papatoetoe,Tupu,1358
FY18,Apr,Waiheke,Waiheke,11671
FY18,Apr,Franklin,Waiuku,8487
FY18,Apr,Rodney,Warkworth,12943
FY18,Apr,Rodney,Wellsford,5476
FY18,Apr,Hibiscus and Bays,Whangaparaoa,22077
FY18,May,Upper Harbour,Albany Village,20936
FY18,May,Other,Art Gallery,28
FY18,May,Whau,Avondale,8216
FY18,May,Kaipatiki,Birkenhead,23025
FY18,May,Whau,Blockhouse Bay,18808
FY18,May,Howick,Botany,29690
FY18,May,Waitemata,Central City,34339
FY18,May,Manurewa,Clendon,3795
FY18,May,Other,Content and Access,109
FY18,May,Other,Corporate,93
FY18,May,Other,Debt,2
FY18,May,Devonport - Takapuna,Devonport,19485
FY18,May,Other,Digital Library,0
FY18,May,Hibiscus and Bays,East Coast Bays,48261
FY18,May,Albert - Eden,Epsom,24556
FY18,May,Other,Events Library,29
FY18,May,Waitakere Ranges,Glen Eden,18917
FY18,May,Maungakiekie-Tamaki,Glen Innes,7284
FY18,May,Kaipatiki,Glenfield,29607
FY18,May,Great Barrier,Great Barrier,1193
FY18,May,Waitemata,Grey Lynn,12274
FY18,May,Rodney,Helensville,3120
FY18,May,Henderson - Massey,Henderson,21264
FY18,May,Howick,Highland Park,29164
FY18,May,Howick,Howick,27366
FY18,May,Rodney,Kumeu,13643
FY18,May,Waitemata,Leys Institute,11661
FY18,May,Waitemata,Leys Institute Little,0
FY18,May,Other,Library Connect,166
FY18,May,Rodney,Mahurangi East,6595
FY18,May,Mangere-Otahuhu,Mangere Bridge,8930
FY18,May,Mangere-Otahuhu,Mangere East,2166
FY18,May,Mangere-Otahuhu,Mangere Town Centre,2622
FY18,May,Otara-Papatoetoe,Manukau,7418
FY18,May,Manurewa,Manurewa,16172
FY18,May,Henderson - Massey,Massey,27997
FY18,May,Mobile Libraries,Mobile Central,1104
FY18,May,Mobile Libraries,Mobile North,1695
FY18,May,Mobile Libraries,Mobile South & East,3914
FY18,May,Mobile Libraries,Mobile West & Central,2298
FY18,May,Albert - Eden,Mt Albert,32724
FY18,May,Puketapapa,Mt Roskill,32881
FY18,May,Whau,New Lynn,20417
FY18,May,Kaipatiki,Northcote,11127
FY18,May,Maungakiekie-Tamaki,Onehunga,16764
FY18,May,Other,Online Renewals,0
FY18,May,Hibiscus and Bays,Orewa,30393
FY18,May,Mangere-Otahuhu,Otahuhu,3881
FY18,May,Otara-Papatoetoe,Otara,1773
FY18,May,Other,Other,0
FY18,May,Howick,Pakuranga,21227
FY18,May,Maungakiekie-Tamaki,Panmure,11584
FY18,May,Papakura,Papakura,21869
FY18,May,Otara-Papatoetoe,Papatoetoe,10570
FY18,May,Waitemata,Parnell,10674
FY18,May,Albert - Eden,Pt Chevalier,14032
FY18,May,Franklin,Pukekohe,26698
FY18,May,Henderson - Massey,Ranui,9753
FY18,May,Orakei,Remuera,28327
FY18,May,Orakei,St Heliers,33698
FY18,May,Devonport - Takapuna,Takapuna,33300
FY18,May,Henderson - Massey,Te Atatu Peninsula,14134
FY18,May,Henderson - Massey,Te Manawa,0
FY18,May,Waitakere Ranges,Titirangi,15764
FY18,May,Otara-Papatoetoe,Tupu,1436
FY18,May,Waiheke,Waiheke,10947
FY18,May,Franklin,Waiuku,9452
FY18,May,Rodney,Warkworth,12913
FY18,May,Rodney,Wellsford,5975
FY18,May,Hibiscus and Bays,Whangaparaoa,22453
FY18,Jun,Upper Harbour,Albany Village,20922
FY18,Jun,Other,Art Gallery,57
FY18,Jun,Whau,Avondale,8067
FY18,Jun,Kaipatiki,Birkenhead,22801
FY18,Jun,Whau,Blockhouse Bay,18087
FY18,Jun,Howick,Botany,31189
FY18,Jun,Waitemata,Central City,32218
FY18,Jun,Manurewa,Clendon,3075
FY18,Jun,Other,Content and Access,16
FY18,Jun,Other,Corporate,55
FY18,Jun,Other,Debt,0
FY18,Jun,Devonport - Takapuna,Devonport,18960
FY18,Jun,Other,Digital Library,0
FY18,Jun,Hibiscus and Bays,East Coast Bays,45095
FY18,Jun,Albert - Eden,Epsom,23471
FY18,Jun,Other,Events Library,28
FY18,Jun,Waitakere Ranges,Glen Eden,17309
FY18,Jun,Maungakiekie-Tamaki,Glen Innes,7532
FY18,Jun,Kaipatiki,Glenfield,28831
FY18,Jun,Great Barrier,Great Barrier,863
FY18,Jun,Waitemata,Grey Lynn,11771
FY18,Jun,Rodney,Helensville,5217
FY18,Jun,Henderson - Massey,Henderson,21026
FY18,Jun,Howick,Highland Park,25154
FY18,Jun,Mobile Libraries,Homecare West,53
FY18,Jun,Howick,Howick,26996
FY18,Jun,Rodney,Kumeu,12823
FY18,Jun,Waitemata,Leys Institute,11320
FY18,Jun,Waitemata,Leys Institute Little,0
FY18,Jun,Other,Library Connect,428
FY18,Jun,Rodney,Mahurangi East,6521
FY18,Jun,Mangere-Otahuhu,Mangere Bridge,8228
FY18,Jun,Mangere-Otahuhu,Mangere East,2297
FY18,Jun,Mangere-Otahuhu,Mangere Town Centre,2869
FY18,Jun,Otara-Papatoetoe,Manukau,7108
FY18,Jun,Manurewa,Manurewa,14843
FY18,Jun,Henderson - Massey,Massey,27733
FY18,Jun,Mobile Libraries,Mobile Central,905
FY18,Jun,Mobile Libraries,Mobile North,1342
FY18,Jun,Mobile Libraries,Mobile South & East,3454
FY18,Jun,Mobile Libraries,Mobile West & Central,1783
FY18,Jun,Albert - Eden,Mt Albert,32139
FY18,Jun,Puketapapa,Mt Roskill,31620
FY18,Jun,Whau,New Lynn,20300
FY18,Jun,Kaipatiki,Northcote,10966
FY18,Jun,Maungakiekie-Tamaki,Onehunga,15629
FY18,Jun,Other,Online Renewals,0
FY18,Jun,Hibiscus and Bays,Orewa,28812
FY18,Jun,Mangere-Otahuhu,Otahuhu,3979
FY18,Jun,Otara-Papatoetoe,Otara,1566
FY18,Jun,Other,Other,0
FY18,Jun,Howick,Pakuranga,20083
FY18,Jun,Maungakiekie-Tamaki,Panmure,11888
FY18,Jun,Papakura,Papakura,21194
FY18,Jun,Otara-Papatoetoe,Papatoetoe,9858
FY18,Jun,Waitemata,Parnell,10886
FY18,Jun,Albert - Eden,Pt Chevalier,13132
FY18,Jun,Franklin,Pukekohe,24948
FY18,Jun,Henderson - Massey,Ranui,9639
FY18,Jun,Orakei,Remuera,27503
FY18,Jun,Orakei,St Heliers,32346
FY18,Jun,Devonport - Takapuna,Takapuna,33438
FY18,Jun,Henderson - Massey,Te Atatu Peninsula,13289
FY18,Jun,Henderson - Massey,Te Manawa,0
FY18,Jun,Waitakere Ranges,Titirangi,15220
FY18,Jun,Otara-Papatoetoe,Tupu,1566
FY18,Jun,Waiheke,Waiheke,10856
FY18,Jun,Franklin,Waiuku,8862
FY18,Jun,Rodney,Warkworth,11773
FY18,Jun,Rodney,Wellsford,5792
FY18,Jun,Hibiscus and Bays,Whangaparaoa,21468
FY19,Jul,Upper Harbour,Albany Village,23235
FY19,Jul,Other,Art Gallery,25
FY19,Jul,Whau,Avondale,9389
FY19,Jul,Kaipatiki,Birkenhead,24885
FY19,Jul,Whau,Blockhouse Bay,20995
FY19,Jul,Howick,Botany,33887
FY19,Jul,Waitemata,Central City,36503
FY19,Jul,Manurewa,Clendon,3944
FY19,Jul,Other,Content and Access,33
FY19,Jul,Other,Corporate,85
FY19,Jul,Other,Debt,7
FY19,Jul,Devonport - Takapuna,Devonport,21314
FY19,Jul,Other,Digital Library,0
FY19,Jul,Hibiscus and Bays,East Coast Bays,50681
FY19,Jul,Albert - Eden,Epsom,25199
FY19,Jul,Other,Events Library,43
FY19,Jul,Waitakere Ranges,Glen Eden,18900
FY19,Jul,Maungakiekie-Tamaki,Glen Innes,7561
FY19,Jul,Kaipatiki,Glenfield,31682
FY19,Jul,Great Barrier,Great Barrier,962
FY19,Jul,Waitemata,Grey Lynn,12196
FY19,Jul,Rodney,Helensville,5634
FY19,Jul,Henderson - Massey,Henderson,19629
FY19,Jul,Howick,Highland Park,30924
FY19,Jul,Mobile Libraries,Homecare West,227
FY19,Jul,Howick,Howick,29091
FY19,Jul,Rodney,Kumeu,13344
FY19,Jul,Waitemata,Leys Institute,10948
FY19,Jul,Waitemata,Leys Institute Little,0
FY19,Jul,Other,Library Connect,193
FY19,Jul,Rodney,Mahurangi East,6914
FY19,Jul,Mangere-Otahuhu,Mangere Bridge,9869
FY19,Jul,Mangere-Otahuhu,Mangere East,2739
FY19,Jul,Mangere-Otahuhu,Mangere Town Centre,3121
FY19,Jul,Otara-Papatoetoe,Manukau,8722
FY19,Jul,Manurewa,Manurewa,16326
FY19,Jul,Henderson - Massey,Massey,30149
FY19,Jul,Mobile Libraries,Mobile Central,1150
FY19,Jul,Mobile Libraries,Mobile North,791
FY19,Jul,Mobile Libraries,Mobile South & East,3363
FY19,Jul,Mobile Libraries,Mobile West & Central,721
FY19,Jul,Albert - Eden,Mt Albert,33972
FY19,Jul,Puketapapa,Mt Roskill,34919
FY19,Jul,Whau,New Lynn,23732
FY19,Jul,Kaipatiki,Northcote,11953
FY19,Jul,Maungakiekie-Tamaki,Onehunga,17714
FY19,Jul,Other,Online Renewals,0
FY19,Jul,Hibiscus and Bays,Orewa,31990
FY19,Jul,Mangere-Otahuhu,Otahuhu,4173
FY19,Jul,Otara-Papatoetoe,Otara,1673
FY19,Jul,Other,Other,0
FY19,Jul,Howick,Pakuranga,23026
FY19,Jul,Maungakiekie-Tamaki,Panmure,12637
FY19,Jul,Papakura,Papakura,23730
FY19,Jul,Otara-Papatoetoe,Papatoetoe,11599
FY19,Jul,Waitemata,Parnell,10460
FY19,Jul,Albert - Eden,Pt Chevalier,14282
FY19,Jul,Franklin,Pukekohe,27521
FY19,Jul,Henderson - Massey,Ranui,11079
FY19,Jul,Orakei,Remuera,30131
FY19,Jul,Orakei,St Heliers,36088
FY19,Jul,Devonport - Takapuna,Takapuna,36870
FY19,Jul,Henderson - Massey,Te Atatu Peninsula,15078
FY19,Jul,Henderson - Massey,Te Manawa,0
FY19,Jul,Waitakere Ranges,Titirangi,16631
FY19,Jul,Otara-Papatoetoe,Tupu,1586
FY19,Jul,Waiheke,Waiheke,11990
FY19,Jul,Franklin,Waiuku,9675
FY19,Jul,Rodney,Warkworth,13166
FY19,Jul,Rodney,Wellsford,6191
FY19,Jul,Hibiscus and Bays,Whangaparaoa,24195
FY19,Aug,Upper Harbour,Albany Village,21058
FY19,Aug,Other,Art Gallery,21
FY19,Aug,Whau,Avondale,8721
FY19,Aug,Kaipatiki,Birkenhead,21976
FY19,Aug,Whau,Blockhouse Bay,18668
FY19,Aug,Howick,Botany,30120
FY19,Aug,Waitemata,Central City,33956
FY19,Aug,Manurewa,Clendon,3649
FY19,Aug,Other,Content and Access,27
FY19,Aug,Other,Corporate,95
FY19,Aug,Other,Debt,2
FY19,Aug,Devonport - Takapuna,Devonport,20395
FY19,Aug,Other,Digital Library,0
FY19,Aug,Hibiscus and Bays,East Coast Bays,46244
FY19,Aug,Albert - Eden,Epsom,24234
FY19,Aug,Other,Events Library,22
FY19,Aug,Waitakere Ranges,Glen Eden,19342
FY19,Aug,Maungakiekie-Tamaki,Glen Innes,7384
FY19,Aug,Kaipatiki,Glenfield,29038
FY19,Aug,Great Barrier,Great Barrier,861
FY19,Aug,Waitemata,Grey Lynn,12029
FY19,Aug,Rodney,Helensville,5515
FY19,Aug,Henderson - Massey,Henderson,10501
FY19,Aug,Howick,Highland Park,28639
FY19,Aug,Mobile Libraries,Homecare West,133
FY19,Aug,Howick,Howick,27082
FY19,Aug,Rodney,Kumeu,12959
FY19,Aug,Waitemata,Leys Institute,10992
FY19,Aug,Waitemata,Leys Institute Little,0
FY19,Aug,Other,Library Connect,223
FY19,Aug,Rodney,Mahurangi East,6993
FY19,Aug,Mangere-Otahuhu,Mangere Bridge,9838
FY19,Aug,Mangere-Otahuhu,Mangere East,2351
FY19,Aug,Mangere-Otahuhu,Mangere Town Centre,2862
FY19,Aug,Otara-Papatoetoe,Manukau,7972
FY19,Aug,Manurewa,Manurewa,16215
FY19,Aug,Henderson - Massey,Massey,29969
FY19,Aug,Mobile Libraries,Mobile Central,1300
FY19,Aug,Mobile Libraries,Mobile North,1587
FY19,Aug,Mobile Libraries,Mobile South & East,3499
FY19,Aug,Mobile Libraries,Mobile West & Central,2001
FY19,Aug,Albert - Eden,Mt Albert,31271
FY19,Aug,Puketapapa,Mt Roskill,32824
FY19,Aug,Whau,New Lynn,21864
FY19,Aug,Kaipatiki,Northcote,11498
FY19,Aug,Maungakiekie-Tamaki,Onehunga,16499
FY19,Aug,Other,Online Renewals,0
FY19,Aug,Hibiscus and Bays,Orewa,30518
FY19,Aug,Mangere-Otahuhu,Otahuhu,4045
FY19,Aug,Otara-Papatoetoe,Otara,1780
FY19,Aug,Other,Other,2275
FY19,Aug,Howick,Pakuranga,20376
FY19,Aug,Maungakiekie-Tamaki,Panmure,11869
FY19,Aug,Papakura,Papakura,22497
FY19,Aug,Otara-Papatoetoe,Papatoetoe,10137
FY19,Aug,Waitemata,Parnell,11005
FY19,Aug,Albert - Eden,Pt Chevalier,14127
FY19,Aug,Franklin,Pukekohe,26589
FY19,Aug,Henderson - Massey,Ranui,11179
FY19,Aug,Orakei,Remuera,28490
FY19,Aug,Orakei,St Heliers,33799
FY19,Aug,Devonport - Takapuna,Takapuna,34326
FY19,Aug,Henderson - Massey,Te Atatu Peninsula,16312
FY19,Aug,Henderson - Massey,Te Manawa,0
FY19,Aug,Waitakere Ranges,Titirangi,16332
FY19,Aug,Otara-Papatoetoe,Tupu,1515
FY19,Aug,Waiheke,Waiheke,11110
FY19,Aug,Franklin,Waiuku,9429
FY19,Aug,Rodney,Warkworth,12323
FY19,Aug,Rodney,Wellsford,6084
FY19,Aug,Hibiscus and Bays,Whangaparaoa,21562
FY19,Sep,Upper Harbour,Albany Village,20112
FY19,Sep,Other,Art Gallery,22
FY19,Sep,Whau,Avondale,8706
FY19,Sep,Kaipatiki,Birkenhead,20042
FY19,Sep,Whau,Blockhouse Bay,18091
FY19,Sep,Howick,Botany,28959
FY19,Sep,Waitemata,Central City,30686
FY19,Sep,Manurewa,Clendon,3084
FY19,Sep,Other,Content and Access,37
FY19,Sep,Other,Corporate,70
FY19,Sep,Other,Debt,2
FY19,Sep,Devonport - Takapuna,Devonport,19013
FY19,Sep,Other,Digital Library,0
FY19,Sep,Hibiscus and Bays,East Coast Bays,45093
FY19,Sep,Albert - Eden,Epsom,22653
FY19,Sep,Waitakere Ranges,Glen Eden,17307
FY19,Sep,Maungakiekie-Tamaki,Glen Innes,6967
FY19,Sep,Kaipatiki,Glenfield,28187
FY19,Sep,Great Barrier,Great Barrier,1018
FY19,Sep,Waitemata,Grey Lynn,11015
FY19,Sep,Rodney,Helensville,4905
FY19,Sep,Henderson - Massey,Henderson,16297
FY19,Sep,Howick,Highland Park,27570
FY19,Sep,Mobile Libraries,Homecare West,98
FY19,Sep,Howick,Howick,25465
FY19,Sep,Rodney,Kumeu,11810
FY19,Sep,Waitemata,Leys Institute,10581
FY19,Sep,Waitemata,Leys Institute Little,0
FY19,Sep,Other,Library Connect,179
FY19,Sep,Rodney,Mahurangi East,6306
FY19,Sep,Mangere-Otahuhu,Mangere Bridge,8532
FY19,Sep,Mangere-Otahuhu,Mangere East,1930
FY19,Sep,Mangere-Otahuhu,Mangere Town Centre,2553
FY19,Sep,Otara-Papatoetoe,Manukau,6976
FY19,Sep,Manurewa,Manurewa,14012
FY19,Sep,Henderson - Massey,Massey,26994
FY19,Sep,Mobile Libraries,Mobile Central,862
FY19,Sep,Mobile Libraries,Mobile North,1094
FY19,Sep,Mobile Libraries,Mobile South & East,3129
FY19,Sep,Mobile Libraries,Mobile West & Central,1774
FY19,Sep,Albert - Eden,Mt Albert,31480
FY19,Sep,Puketapapa,Mt Roskill,31135
FY19,Sep,Whau,New Lynn,21055
FY19,Sep,Kaipatiki,Northcote,11171
FY19,Sep,Maungakiekie-Tamaki,Onehunga,16093
FY19,Sep,Other,Online Renewals,0
FY19,Sep,Hibiscus and Bays,Orewa,28044
FY19,Sep,Mangere-Otahuhu,Otahuhu,3719
FY19,Sep,Otara-Papatoetoe,Otara,1400
FY19,Sep,Other,Other,2286
FY19,Sep,Howick,Pakuranga,19747
FY19,Sep,Maungakiekie-Tamaki,Panmure,11467
FY19,Sep,Papakura,Papakura,19460
FY19,Sep,Otara-Papatoetoe,Papatoetoe,9363
FY19,Sep,Waitemata,Parnell,10739
FY19,Sep,Albert - Eden,Pt Chevalier,12842
FY19,Sep,Franklin,Pukekohe,23477
FY19,Sep,Henderson - Massey,Ranui,9727
FY19,Sep,Orakei,Remuera,27680
FY19,Sep,Orakei,St Heliers,31842
FY19,Sep,Devonport - Takapuna,Takapuna,32297
FY19,Sep,Henderson - Massey,Te Atatu Peninsula,12869
FY19,Sep,Henderson - Massey,Te Manawa,0
FY19,Sep,Waitakere Ranges,Titirangi,15201
FY19,Sep,Otara-Papatoetoe,Tupu,1274
FY19,Sep,Waiheke,Waiheke,10292
FY19,Sep,Franklin,Waiuku,7720
FY19,Sep,Rodney,Warkworth,11313
FY19,Sep,Rodney,Wellsford,5341
FY19,Sep,Hibiscus and Bays,Whangaparaoa,21452
FY19,Oct,Upper Harbour,Albany Village,20413
FY19,Oct,Other,Art Gallery,39
FY19,Oct,Whau,Avondale,8810
FY19,Oct,Kaipatiki,Birkenhead,20762
FY19,Oct,Whau,Blockhouse Bay,18561
FY19,Oct,Howick,Botany,29729
FY19,Oct,Waitemata,Central City,33119
FY19,Oct,Manurewa,Clendon,3424
FY19,Oct,Other,Content and Access,250
FY19,Oct,Other,Corporate,56
FY19,Oct,Other,Debt,0
FY19,Oct,Devonport - Takapuna,Devonport,20271
FY19,Oct,Other,Digital Library,0
FY19,Oct,Hibiscus and Bays,East Coast Bays,47811
FY19,Oct,Albert - Eden,Epsom,23219
FY19,Oct,Other,Events Library,21
FY19,Oct,Waitakere Ranges,Glen Eden,17617
FY19,Oct,Maungakiekie-Tamaki,Glen Innes,7403
FY19,Oct,Kaipatiki,Glenfield,28299
FY19,Oct,Great Barrier,Great Barrier,986
FY19,Oct,Waitemata,Grey Lynn,11585
FY19,Oct,Rodney,Helensville,5292
FY19,Oct,Henderson - Massey,Henderson,17159
FY19,Oct,Howick,Highland Park,28687
FY19,Oct,Mobile Libraries,Homecare North,184
FY19,Oct,Mobile Libraries,Homecare South,65
FY19,Oct,Mobile Libraries,Homecare West,141
FY19,Oct,Howick,Howick,26822
FY19,Oct,Rodney,Kumeu,12728
FY19,Oct,Waitemata,Leys Institute,10759
FY19,Oct,Waitemata,Leys Institute Little,0
FY19,Oct,Other,Library Connect,153
FY19,Oct,Rodney,Mahurangi East,7193
FY19,Oct,Mangere-Otahuhu,Mangere Bridge,9723
FY19,Oct,Mangere-Otahuhu,Mangere East,2372
FY19,Oct,Mangere-Otahuhu,Mangere Town Centre,2982
FY19,Oct,Otara-Papatoetoe,Manukau,7603
FY19,Oct,Manurewa,Manurewa,14873
FY19,Oct,Henderson - Massey,Massey,27776
FY19,Oct,Mobile Libraries,Mobile Central,417
FY19,Oct,Mobile Libraries,Mobile North,1359
FY19,Oct,Mobile Libraries,Mobile South & East,3657
FY19,Oct,Mobile Libraries,Mobile Waka,78
FY19,Oct,Mobile Libraries,Mobile West & Central,1171
FY19,Oct,Albert - Eden,Mt Albert,31980
FY19,Oct,Puketapapa,Mt Roskill,32342
FY19,Oct,Whau,New Lynn,21695
FY19,Oct,Kaipatiki,Northcote,11365
FY19,Oct,Maungakiekie-Tamaki,Onehunga,16462
FY19,Oct,Other,Online Renewals,0
FY19,Oct,Hibiscus and Bays,Orewa,30552
FY19,Oct,Mangere-Otahuhu,Otahuhu,3643
FY19,Oct,Otara-Papatoetoe,Otara,1412
FY19,Oct,Other,Other,2562
FY19,Oct,Howick,Pakuranga,19974
FY19,Oct,Maungakiekie-Tamaki,Panmure,11511
FY19,Oct,Papakura,Papakura,22439
FY19,Oct,Otara-Papatoetoe,Papatoetoe,9822
FY19,Oct,Waitemata,Parnell,10635
FY19,Oct,Albert - Eden,Pt Chevalier,13575
FY19,Oct,Franklin,Pukekohe,25753
FY19,Oct,Henderson - Massey,Ranui,9788
FY19,Oct,Orakei,Remuera,29014
FY19,Oct,Orakei,St Heliers,32850
FY19,Oct,Devonport - Takapuna,Takapuna,32656
FY19,Oct,Henderson - Massey,Te Atatu Peninsula,13370
FY19,Oct,Henderson - Massey,Te Manawa,0
FY19,Oct,Waitakere Ranges,Titirangi,16472
FY19,Oct,Otara-Papatoetoe,Tupu,1483
FY19,Oct,Waiheke,Waiheke,11086
FY19,Oct,Franklin,Waiuku,9151
FY19,Oct,Rodney,Warkworth,12319
FY19,Oct,Rodney,Wellsford,5622
FY19,Oct,Hibiscus and Bays,Whangaparaoa,23207
FY19,Nov,Upper Harbour,Albany Village,20669
FY19,Nov,Other,Art Gallery,22
FY19,Nov,Whau,Avondale,7629
FY19,Nov,Kaipatiki,Birkenhead,19626
FY19,Nov,Whau,Blockhouse Bay,17552
FY19,Nov,Howick,Botany,27440
FY19,Nov,Waitemata,Central City,30693
FY19,Nov,Manurewa,Clendon,3208
FY19,Nov,Other,Content and Access,399
